"SYMBOL","ENTREZID","GO","ONTOLOGY","EVIDENCE","GO_TERM"
"PPP1R1C","151242","GO:0007049","BP","IEA","cell cycle"
"PPP1R1C","151242","GO:0035556","BP","IBA","intracellular signal transduction"
"PPP1R1C","151242","GO:0051301","BP","IEA","cell division"
"TPST1","8460","GO:0000139","CC","IDA","Golgi membrane"
"TPST1","8460","GO:0000139","CC","TAS","Golgi membrane"
"TPST1","8460","GO:0005794","CC","IBA","Golgi apparatus"
"TPST1","8460","GO:0006478","BP","IBA","peptidyl-tyrosine sulfation"
"TPST1","8460","GO:0006478","BP","IDA","peptidyl-tyrosine sulfation"
"TPST1","8460","GO:0006954","BP","TAS","inflammatory response"
"TPST1","8460","GO:0008476","MF","IBA","protein-tyrosine sulfotransferase activity"
"TPST1","8460","GO:0008476","MF","IDA","protein-tyrosine sulfotransferase activity"
"TPST1","8460","GO:0008476","MF","TAS","protein-tyrosine sulfotransferase activity"
"TPST1","8460","GO:0016020","CC","TAS","membrane"
"TPST1","8460","GO:0042803","MF","IPI","protein homodimerization activity"
"TPST1","8460","GO:0050427","BP","TAS","3'-phosphoadenosine 5'-phosphosulfate metabolic process"
"ZNF608","57507","GO:0000122","BP","ISS","negative regulation of transcription by RNA polymerase II"
"ZNF608","57507","GO:0005634","CC","IBA","nucleus"
"ZNF608","57507","GO:0006357","BP","IBA","regulation of transcription by RNA polymerase II"
"ZNF608","57507","GO:0046872","MF","IEA","metal ion binding"
