"gene_symbol","entrez_id","kegg_gene_id","pathway_id","pathway_name","pathway_class","pathway_description","route_major_class","route_subclass","compound_id","compound_name"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05954","Prostaglandin B2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05955","Prostaglandin C2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05956","Prostaglandin G2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05957","Prostaglandin J2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05958","Delta-12-Prostaglandin J2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05959","11-epi-Prostaglandin F2alpha"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05960","15-Keto-prostaglandin F2alpha"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05961","6-Keto-prostaglandin F1alpha"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05962","6-Keto-prostaglandin E1"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05963","Thromboxane B2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05964","11-Dehydro-thromboxane B2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05965","12(S)-HPETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C05966","15(S)-HPETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C06314","Lipoxin A4"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C06315","Lipoxin B4"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C06462","Leukotriene F4"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C13809","9,11,15-Trihydroxy-prosta-5,13-dien-1-oic acid"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14717","15-Deoxy-Delta12,14-PGJ2"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14732","5-OxoETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14748","20-HETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14749","19(S)-HETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14768","5,6-EET"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14769","8,9-EET"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14770","11,12-EET"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14771","14,15-EET"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14772","5,6-DHET"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14773","8,9-DHET"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14774","11,12-DHET"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14775","14,15-DHET"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14776","8(S)-HETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14777","12(S)-HETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14778","16(R)-HETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14779","9(S)-HETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14780","11(R)-HETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14781","15H-11,12-EETA"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14782","11,12,15-THETA"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14794","2,3-Dinor-8-iso prostaglandin F2alpha"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14795","2,3-Dinor-8-iso prostaglandin F1alpha"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14807","12-OxoETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14808","Hepoxilin A3"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14809","Trioxilin A3"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14810","Hepoxilin B3"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14811","Trioxilin B3"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14812","12(R)-HPETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14813","11H-14,15-EETA"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14814","11,14,15-THETA"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14815","5,6-Epoxytetraene"
