"pathway_id","compound_id","compound_name"
"hsa04148","C06314","Lipoxin A4"
"hsa04148","C15519","25-Hydroxycholesterol"
"hsa04148","C15610","Cholest-5-ene-3beta,26-diol"
"hsa04148","C18178","Resolvin D1"
"hsa04216","C00010","CoA"
"hsa04216","C00024","Acetyl-CoA"
"hsa04216","C00025","L-Glutamate"
"hsa04216","C00027","Hydrogen peroxide"
"hsa04216","C00032","Heme"
"hsa04216","C00051","Glutathione"
"hsa04216","C00097","L-Cysteine"
"hsa04216","C00127","Glutathione disulfide"
"hsa04216","C00129","Isopentenyl diphosphate"
"hsa04216","C00219","Arachidonate"
"hsa04216","C00356","(S)-3-Hydroxy-3-methylglutaryl-CoA"
"hsa04216","C00418","(R)-Mevalonate"
"hsa04216","C00491","L-Cystine"
"hsa04216","C00669","gamma-L-Glutamyl-L-cysteine"
"hsa04216","C02249","Arachidonyl-CoA"
"hsa04216","C02477","alpha-Tocopherol"
"hsa04216","C11378","Ubiquinone-10"
"hsa04216","C14818","Fe2+"
"hsa04216","C14819","Fe3+"
"hsa04216","C16170","(7Z,10Z,13Z,16Z)-Docosatetraenoyl-CoA"
"hsa04216","C16527","Adrenic acid"
"hsa04216","C16844","Hydroxyl radical"
"hsa04216","C21478","Erastin"
"hsa04216","C21479","RSL3"
"hsa04216","C21480","1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine"
"hsa04216","C21481","1-Octadecanoyl-2-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycero-3-phosphoethanolamine"
"hsa04216","C21482","1-Octadecanoyl-2-(15S-hydroxy-5Z,8Z,11Z,13E-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine"
"hsa04216","C21483","1-Octadecanoyl-2-(15S-hydroperoxy-5Z,8Z,11Z,13E-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine"
"hsa04216","C21484","1-Octadecanoyl-sn-glycero-3-phosphoethanolamine"
"hsa04216","D00448","Sulfasalazine (USP/INN)"
"hsa04216","D08524","Sorafenib (USAN/INN)"
"hsa04217","C00002","ATP"
"hsa04217","C00027","Hydrogen peroxide"
"hsa04217","C00076","Calcium cation"
"hsa04217","C00195","N-Acylsphingosine"
"hsa04217","C00219","Arachidonate"
"hsa04217","C00305","Magnesium cation"
"hsa04217","C00319","Sphingosine"
"hsa04217","C00550","Sphingomyelin"
"hsa04217","C14592","N-Methyl-N'-nitro-N-nitrosoguanidine"
"hsa04217","C16844","Hydroxyl radical"
"hsa04726","C00076","Calcium cation"
"hsa04726","C00078","L-Tryptophan"
"hsa04726","C00165","Diacylglycerol"
"hsa04726","C00219","Arachidonate"
"hsa04726","C00238","Potassium cation"
"hsa04726","C00427","Prostaglandin H2"
"hsa04726","C00575","3',5'-Cyclic AMP"
"hsa04726","C00584","Prostaglandin E2"
"hsa04726","C00639","Prostaglandin F2alpha"
"hsa04726","C00643","5-Hydroxy-L-tryptophan"
"hsa04726","C00696","Prostaglandin D2"
"hsa04726","C00780","Serotonin"
"hsa04726","C00909","Leukotriene A4"
"hsa04726","C01245","D-myo-Inositol 1,4,5-trisphosphate"
