"pathway_id","compound_id","compound_name"
"hsa04976","C01996","Acetylcholine"
"hsa04976","C02165","Leukotriene B4"
"hsa04976","C02166","Leukotriene C4"
"hsa04976","C02380","6-Mercaptopurine"
"hsa04976","C02465","Triiodothyronine"
"hsa04976","C02528","Chenodeoxycholate"
"hsa04976","C02530","Cholesterol ester"
"hsa04976","C02538","Estrone 3-sulfate"
"hsa04976","C02918","1-Methylnicotinamide"
"hsa04976","C03033","beta-D-Glucuronoside"
"hsa04976","C03642","Taurolithocholate sulfate"
"hsa04976","C03758","Dopamine"
"hsa04976","C03990","Lithocholic acid"
"hsa04976","C04483","Deoxycholic acid"
"hsa04976","C04555","Dehydroepiandrosterone sulfate"
"hsa04976","C05122","Taurocholate"
"hsa04976","C05371","Microcystin LR"
"hsa04976","C05465","Taurochenodeoxycholate"
"hsa04976","C05466","Glycochenodeoxycholate"
"hsa04976","C05503","Estradiol-17beta 3-glucuronide"
"hsa04976","C05551","Penicillin G"
"hsa04976","C05963","Thromboxane B2"
"hsa04976","C06526","Quinine"
"hsa04976","C06570","Tetracycline"
"hsa04976","C06688","Rifampicin"
"hsa04976","C06804","Acetaminophen"
"hsa04976","C06810","Aciclovir"
"hsa04976","C06880","Cefazolin"
"hsa04976","C06890","Ceftizoxime"
"hsa04976","C06956","Digoxin"
"hsa04976","C06999","Fexofenadine"
"hsa04976","C07014","Fluvastatin"
"hsa04976","C07051","Indinavir"
"hsa04976","C07065","Lamivudine"
"hsa04976","C07151","Metformin"
"hsa04976","C07184","Valacyclovir"
"hsa04976","C07185","Valproic acid"
"hsa04976","C07201","Vinblastine"
"hsa04976","C07207","Zalcitabine"
"hsa04976","C07210","Zidovudine"
"hsa04976","C07240","Ritonavir"
"hsa04976","C07394","Paclitaxel"
"hsa04976","C07512","Tetraethylammonium"
"hsa04976","C07649","5-FU"
"hsa04976","C07660","Levofloxacin"
"hsa04976","C07966","Cerivastatin"
"hsa04976","C08357","Estradiol-17beta 3-sulfate"
"hsa04976","C08439","Phalloidin"
"hsa04976","C09955","Ochratoxin A"
"hsa04976","C11158","Topotecan"
"hsa04976","C11231","Docetaxel anhydrous"
"hsa04976","C11245","Glucuronosyletoposide"
"hsa04976","C11277","Adefovir"
"hsa04976","C11310","1-Methyl-4-phenylpyridinium"
"hsa04976","C11363","Sulfobromophthalein"
"hsa04976","C11587","BQ 123"
"hsa04976","C11754","Cephaloridine"
"hsa04976","C12560","Saquinavir mesylate"
"hsa04976","C16114","Cholecystokinin-8"
"hsa04976","C16578","Morphine-6-glucuronide"
"hsa04976","C16643","Morphine-3-glucuronide"
"hsa04976","D00125","Etoposide (JP18/USP/INN)"
"hsa04976","D00140","Erythromycin (JP18/USP/INN)"
"hsa04976","D00142","Methotrexate (JP18/USP/INN)"
"hsa04976","D00184","Cyclosporine (USP)"
"hsa04976","D00186","Ciprofloxacin (JP18/USP/INN)"
"hsa04976","D00201","Tetracycline (JAN/USP/INN)"
"hsa04976","D00214","Dactinomycin (USP)"
"hsa04976","D00224","Allopurinol (JP18/USP/INN)"
"hsa04976","D00240","Aztreonam (JP18/USP/INN)"
"hsa04976","D00247","Bumetanide (JP18/USP/INN)"
"hsa04976","D00295","Cimetidine (JP18/USP/INN)"
"hsa04976","D00298","Digoxin (JP18/USP)"
"hsa04976","D00318","Famotidine (JP18/USP/INN)"
"hsa04976","D00331","Furosemide (JP18/USP/INN)"
"hsa04976","D00333","Ganciclovir (JAN/USP/INN)"
"hsa04976","D00340","Hydrochlorothiazide (JP18/USP/INN)"
"hsa04976","D00353","Lamivudine (JAN/USP/INN)"
"hsa04976","D00359","Lovastatin (USP/INN)"
"hsa04976","D00400","Valsartan (JP18/USP/INN)"
"hsa04976","D00422","Ranitidine (USAN/INN)"
"hsa04976","D00427","Ritonavir (JAN/USP/INN)"
"hsa04976","D00429","Saquinavir (JAN/USP/INN)"
"hsa04976","D00439","Nitrofurantoin (JAN/USP/INN)"
"hsa04976","D00453","Ofloxacin (JP18/USP/INN)"
"hsa04976","D00456","Ondansetron (JAN/USP/INN)"
"hsa04976","D00491","Paclitaxel (JAN/USP/INN)"
"hsa04976","D00512","Phenytoin (JP18/USP/INN)"
"hsa04976","D00521","Terfenadine (JAN/USAN/INN)"
"hsa04976","D00570","Colchicine (JP18/USP)"
"hsa04976","D00590","Sparfloxacin (JAN/USAN/INN)"
"hsa04976","D00767","Vecuronium bromide (JAN/USP/INN)"
"hsa04976","D00804","Ivermectin (JAN/USP/INN)"
"hsa04976","D01061","Irinotecan hydrochloride (USP)"
"hsa04976","D01264","Daunorubicin hydrochloride (JP18/USP)"
"hsa04976","D01275","Doxorubicin hydrochloride (JP18/USP)"
"hsa04976","D01421","Aminohippurate sodium (USP)"
"hsa04976","D01745","Domperidone (JP18/USAN/INN)"
"hsa04976","D01862","Pitavastatin calcium (JAN)"
"hsa04976","D02115","Methotrexate sodium"
"hsa04976","D02166","Mitoxantrone hydrochloride (JAN/USP)"
"hsa04976","D02214","Epirubicin hydrochloride (JP18/USP)"
"hsa04976","D02216","Ciprofloxacin hydrochloride (USP)"
"hsa04976","D02356","Verapamil (USAN/INN)"
"hsa04976","D03130","Bisantrene hydrochloride (USAN)"
"hsa04976","D03833","Indinavir (USAN)"
"hsa04976","D03899","Doxorubicin (USAN/INN)"
"hsa04976","D04931","Mercaptopurine (INN)"
"hsa04976","D05246","Olmesartan (USAN/INN)"
"hsa04976","D06050","Technetium Tc 99m tetrofosmin (USP)"
"hsa04976","D06074","Tenofovir (USAN)"
"hsa04976","D07448","Amitriptyline (INN)"
"hsa04976","D07538","Bosentan (INN)"
"hsa04976","D07626","Caspofungin (INN)"
"hsa04976","D07661","Cerivastatin (INN)"
"hsa04976","D07776","Daunorubicin (INN)"
"hsa04976","D07845","Diltiazem (INN)"
"hsa04976","D07866","Docetaxel (JAN/INN)"
"hsa04976","D07901","Epirubicin (INN)"
"hsa04976","D07907","Erlotinib (INN)"
"hsa04976","D07958","Fexofenadine (INN)"
"hsa04976","D07986","Folinic acid (BAN)"
"hsa04976","D07987","Folinic acid calcium salt pentahydrate"
"hsa04976","D08066","Imatinib (INN)"
"hsa04976","D08086","Irinotecan (INN)"
"hsa04976","D08108","Lapatinib (INN)"
"hsa04976","D08144","Loperamide (INN)"
"hsa04976","D08146","Losartan (INN)"
"hsa04976","D08224","Mitoxantrone (INN)"
"hsa04976","D08259","Nelfinavir (INN)"
"hsa04976","D08291","Ofloxacin hydrochloride"
"hsa04976","D08306","Oseltamivir (INN)"
"hsa04976","D08411","Prazosin (INN)"
"hsa04976","D08458","Quinidine (BAN)"
"hsa04976","D08492","Rosuvastatin (INN)"
"hsa04976","D08618","Topotecan (BAN)"
"hsa04976","D08675","Vinblastine (INN)"
"hsa04976","D08679","Vincristine (INN)"
"hsa00270","C00019","S-Adenosyl-L-methionine"
"hsa00270","C00021","S-Adenosyl-L-homocysteine"
"hsa00270","C00022","Pyruvate"
"hsa00270","C00041","L-Alanine"
"hsa00270","C00049","L-Aspartate"
"hsa00270","C00051","Glutathione"
"hsa00270","C00059","Sulfate"
"hsa00270","C00065","L-Serine"
"hsa00270","C00073","L-Methionine"
"hsa00270","C00094","Sulfite"
"hsa00270","C00097","L-Cysteine"
"hsa00270","C00109","2-Oxobutanoate"
"hsa00270","C00155","L-Homocysteine"
"hsa00270","C00170","5'-Methylthioadenosine"
"hsa00270","C00197","3-Phospho-D-glycerate"
"hsa00270","C00263","L-Homoserine"
"hsa00270","C00283","Hydrogen sulfide"
"hsa00270","C00409","Methanethiol"
"hsa00270","C00441","L-Aspartate 4-semialdehyde"
"hsa00270","C00491","L-Cystine"
"hsa00270","C00506","L-Cysteate"
"hsa00270","C00606","3-Sulfino-L-alanine"
"hsa00270","C00793","D-Cysteine"
"hsa00270","C00957","Mercaptopyruvate"
"hsa00270","C00979","O-Acetyl-L-serine"
"hsa00270","C01005","O-Phospho-L-serine"
"hsa00270","C01077","O-Acetyl-L-homoserine"
"hsa00270","C01102","O-Phospho-L-homoserine"
"hsa00270","C01118","O-Succinyl-L-homoserine"
"hsa00270","C01137","S-Adenosylmethioninamine"
"hsa00270","C01180","4-Methylthio-2-oxobutanoic acid"
"hsa00270","C01234","1-Aminocyclopropane-1-carboxylate"
"hsa00270","C01817","L-Homocystine"
"hsa00270","C01962","Thiocysteine"
"hsa00270","C02218","Dehydroalanine"
"hsa00270","C02291","L-Cystathionine"
"hsa00270","C02356","(S)-2-Aminobutanoate"
"hsa00270","C02989","L-Methionine S-oxide"
"hsa00270","C03082","4-Phospho-L-aspartate"
"hsa00270","C03089","5-Methylthio-D-ribose"
"hsa00270","C03145","N-Formylmethionine"
"hsa00270","C03232","3-Phosphonooxypyruvate"
"hsa00270","C03431","S-Inosyl-L-homocysteine"
"hsa00270","C03539","S-Ribosyl-L-homocysteine"
"hsa00270","C04188","S-Methyl-5-thio-D-ribose 1-phosphate"
"hsa00270","C04582","S-Methyl-5-thio-D-ribulose 1-phosphate"
"hsa00270","C05324","Nicotianamine"
"hsa00270","C05524","Aminoacyl-L-methionine"
"hsa00270","C05526","S-Glutathionyl-L-cysteine"
"hsa00270","C05527","3-Sulfinylpyruvate"
"hsa00270","C05528","3-Sulfopyruvate"
"hsa00270","C05823","3-Mercaptolactate"
"hsa00270","C05824","S-Sulfo-L-cysteine"
"hsa00270","C06547","Ethylene"
"hsa00270","C08276","3-(Methylthio)propanoate"
"hsa00270","C09306","Sulfur dioxide"
"hsa00270","C11437","1-Deoxy-D-xylulose 5-phosphate"
"hsa00270","C11481","HSO3-"
"hsa00270","C11499","(S)-3-Sulfolactate"
"hsa00270","C11537","(2R)-3-Sulfolactate"
"hsa00270","C15606","1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one"
"hsa00270","C15650","2,3-Diketo-5-methylthiopentyl-1-phosphate"
"hsa00270","C15651","2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate"
"hsa00270","C18049","N-Acyl-L-homoserine lactone"
"hsa00270","C19787","5'-S-Methyl-5'-thioinosine"
"hsa00270","C21015","gamma-L-Glutamyl-L-2-aminobutyrate"
"hsa00270","C21016","Ophthalmate"
"hsa00270","C22359","S-Methyl-1-thio-D-xylulose 5-phosphate"
"hsa00480","C00005","NADPH"
"hsa00480","C00006","NADP+"
"hsa00480","C00024","Acetyl-CoA"
"hsa00480","C00025","L-Glutamate"
"hsa00480","C00037","Glycine"
"hsa00480","C00051","Glutathione"
"hsa00480","C00072","Ascorbate"
"hsa00480","C00077","L-Ornithine"
"hsa00480","C00097","L-Cysteine"
"hsa00480","C00127","Glutathione disulfide"
"hsa00480","C00134","Putrescine"
"hsa00480","C00151","L-Amino acid"
"hsa00480","C00315","Spermidine"
"hsa00480","C00669","gamma-L-Glutamyl-L-cysteine"
"hsa00480","C00750","Spermine"
"hsa00480","C01322","RX"
"hsa00480","C01419","Cys-Gly"
"hsa00480","C01672","Cadaverine"
"hsa00480","C01879","5-Oxoproline"
"hsa00480","C02090","Trypanothione"
"hsa00480","C02320","R-S-Glutathione"
"hsa00480","C03170","Trypanothione disulfide"
"hsa00480","C03646","Bis-gamma-glutamylcystine"
"hsa00480","C03740","(5-L-Glutamyl)-L-amino acid"
"hsa00480","C05422","Dehydroascorbate"
"hsa00480","C05726","S-Substituted L-cysteine"
"hsa00480","C05727","S-Substituted N-acetyl-L-cysteine"
"hsa00480","C05729","R-S-Cysteinylglycine"
"hsa00480","C05730","Glutathionylspermidine"
"hsa00480","C16562","Glutathionylspermine"
"hsa00480","C16563","Bis(glutathionyl)spermine"
"hsa00480","C16564","Bis(glutathionyl)spermine disulfide"
"hsa00480","C16565","Aminopropylcadaverine"
"hsa00480","C16566","Glutathionylaminopropylcadaverine"
"hsa00480","C16567","Homotrypanothione"
"hsa00480","C16568","Homotrypanothione disulfide"
"hsa00480","C16663","Tryparedoxin"
"hsa00480","C16664","Tryparedoxin disulfide"
"hsa04066","C00002","ATP"
"hsa04066","C00007","Oxygen"
"hsa04066","C00022","Pyruvate"
"hsa04066","C00024","Acetyl-CoA"
"hsa04066","C00026","2-Oxoglutarate"
"hsa04066","C00031","D-Glucose"
"hsa04066","C00072","Ascorbate"
"hsa04066","C00076","Calcium cation"
"hsa04066","C00165","Diacylglycerol"
"hsa04066","C00186","(S)-Lactate"
"hsa04066","C00338","Lipopolysaccharide"
"hsa04066","C00533","Nitric oxide"
"hsa04066","C00704","Superoxide"
"hsa04066","C01245","D-myo-Inositol 1,4,5-trisphosphate"
"hsa04066","C14818","Fe2+"
"hsa04151","C00020","AMP"
"hsa04151","C00533","Nitric oxide"
"hsa04151","C04637","1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate"
"hsa04151","C05981","Phosphatidylinositol-3,4,5-trisphosphate"
"hsa04659","C00076","Calcium cation"
"hsa04659","C00165","Diacylglycerol"
"hsa04659","C00777","Retinoate"
"hsa04659","C01245","D-myo-Inositol 1,4,5-trisphosphate"
"hsa04932","C00031","D-Glucose"
"hsa04932","C00162","Fatty acid"
"hsa05163","C00076","Calcium cation"
"hsa05163","C00165","Diacylglycerol"
"hsa05163","C00584","Prostaglandin E2"
"hsa05163","C01245","D-myo-Inositol 1,4,5-trisphosphate"
"hsa05163","C05981","Phosphatidylinositol-3,4,5-trisphosphate"
"hsa05163","C20640","Cyclic GMP-AMP"
