"dataset","gene_or_identifier","mean_expression","sd_expression","min_expression","max_expression","n_samples"
"GSE13205_series1","ELOVL5",,,Inf,-Inf,21
"GSE13205_series1","LRRC42",,,Inf,-Inf,21
"GSE13205_series1","LOC100289097",,,Inf,-Inf,21
"GSE13205_series1","LOC100129518",,,Inf,-Inf,21
"GSE13205_series1","TRAF3IP3",,,Inf,-Inf,21
"GSE13205_series1","CDK11A",,,Inf,-Inf,21
"GSE13205_series1","POLDIP3",,,Inf,-Inf,21
"GSE13205_series1","TRAF3IP2",,,Inf,-Inf,21
"GSE13205_series1","SUMO4",,,Inf,-Inf,21
"GSE13205_series1","PTCRA",,,Inf,-Inf,21
"GSE13205_series1","ESR1",,,Inf,-Inf,21
"GSE13205_series1","LYPLA2",,,Inf,-Inf,21
"GSE13205_series1","FLG",,,Inf,-Inf,21
"GSE13205_series1","PRIM2",,,Inf,-Inf,21
"GSE13205_series1","MYH7B",,,Inf,-Inf,21
"GSE13205_series1","MAGEC2",,,Inf,-Inf,21
"GSE13205_series1","SPATA31A1",,,Inf,-Inf,21
"GSE13205_series1","RPL3",,,Inf,-Inf,21
"GSE13205_series1","ARFRP1",,,Inf,-Inf,21
"GSE13205_series1","PRAMEF12",,,Inf,-Inf,21
"GSE13205_series1","SEMG2",,,Inf,-Inf,21
"GSE13205_series1","SPEF1",,,Inf,-Inf,21
"GSE13205_series1","RPL29P7",,,Inf,-Inf,21
"GSE13205_series1","MAP3K4",,,Inf,-Inf,21
"GSE13205_series1","TGIF2",,,Inf,-Inf,21
"GSE13205_series1","HNRNPCL1",,,Inf,-Inf,21
"GSE13205_series1","UBE2V1P9",,,Inf,-Inf,21
"GSE13205_series1","MT1E",,,Inf,-Inf,21
"GSE13205_series1","RPS4XP2",,,Inf,-Inf,21
"GSE13205_series1","RPS17P5",,,Inf,-Inf,21
"GSE13205_series1","DGKH",,,Inf,-Inf,21
"GSE13205_series1","NPM1P22",,,Inf,-Inf,21
"GSE13205_series1","RP11_278J20.2",,,Inf,-Inf,21
"GSE13205_series1","RPL27AP",,,Inf,-Inf,21
"GSE13205_series1","PA2G4P2",,,Inf,-Inf,21
"GSE13205_series1","TMSB4X",,,Inf,-Inf,21
"GSE13205_series1","RPL21",,,Inf,-Inf,21
"GSE13205_series1","RPLP2P1",,,Inf,-Inf,21
"GSE13205_series1","RP3_336K20__B.2",,,Inf,-Inf,21
"GSE13205_series1","RPS10L",,,Inf,-Inf,21
"GSE13205_series1","MIR1244_3",,,Inf,-Inf,21
"GSE13205_series1","RP1_6P5.2",,,Inf,-Inf,21
"GSE13205_series1","OR2B6",,,Inf,-Inf,21
"GSE13205_series1","RP3_406P24.1",,,Inf,-Inf,21
"GSE13205_series1","GOT2P1",,,Inf,-Inf,21
"GSE13205_series1","RP4_710M16.1",,,Inf,-Inf,21
"GSE13205_series1","HMGB3P1",,,Inf,-Inf,21
"GSE13205_series1","LOC102724905",,,Inf,-Inf,21
"GSE13205_series1","SUMO1P2",,,Inf,-Inf,21
"GSE13205_series1","HNRNPA1P3",,,Inf,-Inf,21
"GSE13205_series1","RP4_781L3.1",,,Inf,-Inf,21
"GSE13205_series1","RP4_595K12.1",,,Inf,-Inf,21
"GSE13205_series1","RPS11P1",,,Inf,-Inf,21
"GSE13205_series1","RP1_263J7.1",,,Inf,-Inf,21
"GSE13205_series1","POM121L2",,,Inf,-Inf,21
"GSE13205_series1","RP3_391O22.2",,,Inf,-Inf,21
"GSE13205_series1","RP5_1118D24.2",,,Inf,-Inf,21
"GSE13205_series1","EEF1DP5",,,Inf,-Inf,21
"GSE13205_series1","RP3_334F4.1",,,Inf,-Inf,21
"GSE13205_series1","RP1_190J20.2",,,Inf,-Inf,21
"GSE13205_series1","KRT8P11",,,Inf,-Inf,21
"GSE13205_series1","LOC100505874",,,Inf,-Inf,21
"GSE13205_series1","ZNF133",,,Inf,-Inf,21
"GSE13205_series1","TLE4",,,Inf,-Inf,21
"GSE13205_series1","RPS4XP3",,,Inf,-Inf,21
"GSE13205_series1","HMGB1P12",,,Inf,-Inf,21
"GSE13205_series1","NCR2",,,Inf,-Inf,21
"GSE13205_series1","OR2H2",,,Inf,-Inf,21
"GSE13205_series1","RP6_11O7.2",,,Inf,-Inf,21
"GSE13205_series1","ITCH",,,Inf,-Inf,21
"GSE13205_series1","RPS4XP9",,,Inf,-Inf,21
"GSE13205_series1","CTH",,,Inf,-Inf,21
"GSE13205_series1","EEF1A1P42",,,Inf,-Inf,21
"GSE13205_series1","ZNF259P1",,,Inf,-Inf,21
"GSE13205_series1","DLG1",,,Inf,-Inf,21
"GSE13205_series1","RPL15",,,Inf,-Inf,21
"GSE13205_series1","PRAMEF10",,,Inf,-Inf,21
"GSE13205_series1","RP1_28C20.1",,,Inf,-Inf,21
"GSE13205_series1","RP3_522P13.2",,,Inf,-Inf,21
"GSE13205_series1","RPS10P2",,,Inf,-Inf,21
"GSE13205_series1","RP1_101G11.2",,,Inf,-Inf,21
"GSE13205_series1","RP3_522P13.1",,,Inf,-Inf,21
"GSE13205_series1","PPIAP21",,,Inf,-Inf,21
"GSE13205_series1","RPL35P8",,,Inf,-Inf,21
"GSE13205_series1","GS1_164F24.1",,,Inf,-Inf,21
"GSE13205_series1","HNRNPA1P37",,,Inf,-Inf,21
"GSE13205_series1","RP5_1119A7.11",,,Inf,-Inf,21
"GSE13205_series1","PRAMEF11",,,Inf,-Inf,21
"GSE13205_series1","LOC100289473",,,Inf,-Inf,21
"GSE13205_series1","RP11_209A2.1",,,Inf,-Inf,21
"GSE13205_series1","MRPS11P1",,,Inf,-Inf,21
"GSE13205_series1","UBE2NL",,,Inf,-Inf,21
"GSE13205_series1","RP1_149A16.17",,,Inf,-Inf,21
"GSE13205_series1","MILR1",,,Inf,-Inf,21
"GSE13205_series1","MAN1A2",,,Inf,-Inf,21
"GSE13205_series1","PHF3",,,Inf,-Inf,21
"GSE13205_series1","GIT1",,,Inf,-Inf,21
"GSE13205_series1","ARFGEF2",,,Inf,-Inf,21
"GSE13205_series1","LOC100652930",,,Inf,-Inf,21
"GSE13205_series1","MORC4",,,Inf,-Inf,21
"GSE13205_series1","CA14",,,Inf,-Inf,21
"GSE13205_series1","C2ORF54",,,Inf,-Inf,21
"GSE13205_series1","CBWD1",,,Inf,-Inf,21
"GSE13205_series1","B4GALT5",,,Inf,-Inf,21
"GSE13205_series1","YTHDF1",,,Inf,-Inf,21
"GSE13205_series1","ZGPAT",,,Inf,-Inf,21
"GSE13205_series1","TFEB",,,Inf,-Inf,21
"GSE13205_series1","ZNF512B",,,Inf,-Inf,21
"GSE13205_series1","DDO",,,Inf,-Inf,21
"GSE13205_series1","ACTR5",,,Inf,-Inf,21
"GSE13205_series1","RP13_258O15.1",,,Inf,-Inf,21
"GSE13205_series1","CSGALNACT2",,,Inf,-Inf,21
"GSE13205_series1","ARMCX3",,,Inf,-Inf,21
"GSE13205_series1","PMEPA1",,,Inf,-Inf,21
"GSE13205_series1","SLC35B3",,,Inf,-Inf,21
