"gene_symbol","string_degree","string_mean_score"
"CXCL10",6,0.597666666666667
"ARG1",5,0.5704
"IL5RA",4,0.6045
"HP",3,0.581333333333333
"MMP8",3,0.472666666666667
"CHI3L1",2,0.4345
"IDO1",2,0.8035
"IL6R",2,0.6155
"SAA2",2,0.7655
"ALOX15",1,0.547
"CLC",1,0.64
"CLEC4D",1,0.635
"HRH4",1,0.497
"MCEMP1",1,0.635
"SLPI",1,0.646
"WFDC1",1,0.646
